Fecha	Comprador	Vendedor	Jugador	Precio	Tipo	Foto
19/08/2020 - 20:14:00	cityods	futmondo	Luuk de Jong	13333333	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/luuk-de-jong.png
10/09/2020 - 08:17:00	Albar ÉldelBar	Luis Ragan	Íñigo Martínez	27000000	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67104772.png
18/08/2020 - 20:13:00	Maño's Team	futmondo	Giménez	30101000	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/78060464.png
09/09/2020 - 14:36:00	futmondo	Hala Modric	Orellana	34198558	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/8835313.png
13/09/2020 - 21:29:00	Hala Modric	futmondo	Víctor Díaz	13189999	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/1510284.png
24/08/2020 - 20:17:00	Maño's Team	futmondo	Javi Sánchez	2666666	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/javier-sanchez-de-felipe.png
31/08/2020 - 21:20:00	Luis Ragan	futmondo	Rubén Peña	7222222	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67177699.png
19/09/2020 - 04:40:00	futmondo	Luis Ragan	Rubén Peña	9252810	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67177699.png
07/09/2020 - 04:37:00	Hala Modric	HOPE TEAM S.A	Okazaki	12000000	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/788545.png
23/08/2020 - 20:16:00	Huevo Frito C.F.	futmondo	Hugo Mallo	11010001	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67086276.png
29/08/2020 - 21:17:00	HOPE TEAM S.A	futmondo	Óscar Rodríguez	13200000	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67228635.png
20/08/2020 - 20:14:00	Ruben Esteban	futmondo	Gerard Moreno	56000880	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67115823.png
13/09/2020 - 02:59:20	Gaditas FC	jglelxino17	Renato Tapia	8724034	CLAUSULA	null
19/08/2020 - 20:14:00	Gaditas FC	futmondo	Carlos Soler	25100000	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67196204.png
06/09/2020 - 21:28:00	David Vidal Team	futmondo	Víctor Rodríguez	3555555	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67070671.png
18/09/2020 - 21:30:00	Luis Ragan	futmondo	William Carvalho	5222222	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/55012106.png
11/09/2020 - 22:07:00	futmondo	echo de menos el Netliga	Nano	800000	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67172036.png
19/09/2020 - 01:05:00	futmondo	Pineda team	Masip	11469344	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67038645.png
23/08/2020 - 20:16:00	jorgearaujopirez	futmondo	Loren Morón	14006311	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67181072.png
16/09/2020 - 21:29:00	PaKeTeS ⚽️	futmondo	Marcos Mauro	1280000	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67175124.png
21/08/2020 - 20:15:00	Huevo Frito C.F.	futmondo	Oblak	55101000	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/64016316.png
07/09/2020 - 03:22:00	futmondo	PaKeTeS ⚽️	Reguilón	20078030	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67211900.png
10/09/2020 - 08:17:00	Albar ÉldelBar	Luis Ragan	Paco Alcácer	43000000	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67115584.png
21/08/2020 - 20:15:00	jorgearaujopirez	futmondo	Sergio León	2550005	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67140149.png
11/09/2020 - 21:26:00	Maño's Team	futmondo	Iborra	12200000	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/iborra.png
16/09/2020 - 14:27:00	futmondo	echo de menos el Netliga	Maksimovic	10967435	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/62097340.png
28/08/2020 - 05:07:00	futmondo	Luis Ragan	Merquelanz	3779809	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67199409.png
04/09/2020 - 16:46:00	futmondo	Hala Modric	Edgar Méndez	2905855	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67080309.png
18/09/2020 - 22:29:00	futmondo	Ruben Esteban	Zubeldia	8213557	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67215898.png
06/09/2020 - 03:12:00	futmondo	Hala Modric	Joselu	24963414	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/jos-luis-mato-sanmartn.png
16/09/2020 - 15:05:00	jglelxino17	Sabero Valley	Racic	3995245	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/62189039.png
31/08/2020 - 23:15:00	futmondo	Ruben Esteban	Vinícius	21369667	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/19302146.png
27/08/2020 - 21:15:00	Hala Modric	futmondo	Cheryshev	2759999	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67011250.png
27/08/2020 - 21:15:00	Gaditas FC	futmondo	Toni Villa	1500000	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67215621.png
31/08/2020 - 04:52:00	futmondo	Ruben Esteban	Albiol	15419095	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/7452450.png
19/09/2020 - 12:37:34	Hala Modric	Sabero Valley	Mathías Olivera	5714960	CLAUSULA	null
